1;2;872
1;3;191
1;4;928
1;5;219
2;3;548
2;4;996
2;5;286
2;6;913
3;4;347
3;5;876
3;6;764
3;7;369
4;5;850
4;6;967
4;7;897
4;8;218
5;6;615
5;7;301
5;8;586
5;9;928
6;7;980
6;8;213
6;9;625
6;10;261
7;8;807
7;9;691
7;10;747
7;11;400
8;9;158
8;10;411
8;11;243
8;12;639
9;10;989
9;11;752
9;12;308
9;13;687
10;11;923
10;12;293
10;13;369
10;14;912
11;12;576
11;13;872
11;14;894
11;15;742
12;13;274
12;14;341
12;15;976
12;16;466
13;14;344
13;15;865
13;16;371
13;17;730
14;15;463
14;16;810
14;17;451
14;18;868
15;16;555
15;17;442
15;18;724
15;19;389
16;17;127
16;18;379
16;19;526
16;20;761
17;18;726
17;19;747
17;20;332
17;21;172
18;19;472
18;20;603
18;21;520
18;22;653
19;20;943
19;21;419
19;22;917
19;23;443
20;21;287
20;22;193
20;23;302
20;24;118
21;22;807
21;23;961
21;24;526
21;25;413
22;23;890
22;24;925
22;25;409
22;26;394
23;24;118
23;25;534
23;26;831
23;27;152
24;25;566
24;26;526
24;27;937
24;28;333
25;26;892
25;27;249
25;28;854
25;29;490
26;27;347
26;28;367
26;29;810
26;30;363
27;28;640
27;29;133
27;30;740
27;31;668
28;29;747
28;30;425
28;31;791
28;32;164
29;30;698
29;31;255
29;32;757
29;33;653
30;31;972
30;32;234
30;33;139
30;34;548
31;32;524
31;33;307
31;34;536
31;35;698
32;33;467
32;34;951
32;35;452
32;36;575
33;34;272
33;35;201
33;36;865
33;37;564
34;35;149
34;36;576
34;37;393
34;38;602
35;36;194
35;37;721
35;38;652
35;39;315
36;37;517
36;38;656
36;39;558
36;40;567
37;38;810
37;39;223
37;40;944
37;41;604
38;39;393
38;40;339
38;41;817
38;42;691
39;40;858
39;41;819
39;42;978
39;43;291
40;41;210
40;42;814
40;43;132
40;44;568
41;42;981
41;43;594
41;44;763
41;45;196
42;43;294
42;44;264
42;45;431
42;46;538
43;44;723
43;45;205
43;46;529
43;47;929
44;45;736
44;46;184
44;47;353
44;48;714
45;46;506
45;47;464
45;48;960
45;49;862
46;47;612
46;48;850
46;49;870
46;50;531
47;48;752
47;49;357
47;50;518
47;51;914
48;49;584
48;50;197
48;51;405
48;52;296
49;50;171
49;51;790
49;52;586
49;53;352
50;51;394
50;52;258
50;53;753
50;54;276
51;52;707
51;53;724
51;54;837
51;55;337
52;53;453
52;54;216
52;55;439
52;56;567
53;54;539
53;55;263
53;56;422
53;57;847
54;55;629
54;56;963
54;57;672
54;58;932
55;56;975
55;57;616
55;58;527
55;59;824
56;57;684
56;58;149
56;59;569
56;60;508
57;58;258
57;59;310
57;60;725
57;61;949
58;59;867
58;60;743
58;61;422
58;62;166
59;60;249
59;61;545
59;62;302
59;63;276
60;61;249
60;62;136
60;63;667
60;64;957
61;62;221
61;63;302
61;64;781
61;65;567
62;63;395
62;64;531
62;65;599
62;66;703
63;64;864
63;65;262
63;66;713
63;67;633
64;65;570
64;66;592
64;67;165
64;68;231
65;66;989
65;67;996
65;68;928
65;69;874
66;67;155
66;68;434
66;69;442
66;70;614
67;68;851
67;69;462
67;70;161
67;71;847
68;69;291
68;70;348
68;71;404
68;72;730
69;70;494
69;71;298
69;72;157
69;73;482
70;71;536
70;72;464
70;73;510
70;74;744
71;72;125
71;73;710
71;74;792
71;75;947
72;73;222
72;74;746
72;75;274
72;76;464
73;74;252
73;75;835
73;76;349
73;77;477
74;75;862
74;76;143
74;77;994
74;78;676
75;76;988
75;77;534
75;78;404
75;79;997
76;77;226
76;78;815
76;79;878
76;80;973
77;78;608
77;79;491
77;80;735
77;81;368
78;79;459
78;80;747
78;81;922
78;82;181
79;80;691
79;81;929
79;82;463
79;83;900
80;81;751
80;82;537
80;83;931
80;84;501
81;82;163
81;83;436
81;84;619
81;85;394
82;83;166
82;84;294
82;85;608
82;86;831
83;84;348
83;85;155
83;86;911
83;87;940
84;85;337
84;86;346
84;87;383
84;88;656
85;86;393
85;87;760
85;88;347
85;89;341
86;87;694
86;88;843
86;89;257
86;90;641
87;88;588
87;89;253
87;90;993
87;91;329
88;89;220
88;90;349
88;91;178
88;92;520
89;90;160
89;91;764
89;92;908
89;93;438
90;91;126
90;92;164
90;93;447
90;94;934
91;92;875
91;93;901
91;94;608
91;95;226
92;93;180
92;94;929
92;95;560
92;96;730
93;94;433
93;95;971
93;96;764
93;97;384
94;95;854
94;96;238
94;97;656
94;98;481
95;96;301
95;97;946
95;98;519
95;99;856
96;97;523
96;98;956
96;99;715
96;100;788
97;98;644
97;99;102
97;100;556
97;101;921
98;99;738
98;100;279
98;101;601
98;102;662
99;100;147
99;101;798
99;102;940
99;103;923
100;101;312
100;102;779
100;103;807
100;104;448
101;102;743
101;103;228
101;104;824
101;105;329
102;103;789
102;104;745
102;105;708
102;106;229
103;104;677
103;105;179
103;106;299
103;107;623
104;105;261
104;106;598
104;107;375
104;108;761
105;106;532
105;107;457
105;108;478
105;109;121
106;107;571
106;108;760
106;109;380
106;110;698
107;108;382
107;109;914
107;110;595
107;111;533
108;109;647
108;110;309
108;111;881
108;112;405
109;110;696
109;111;951
109;112;335
109;113;398
110;111;327
110;112;674
110;113;480
110;114;167
111;112;276
111;113;198
111;114;826
111;115;545
112;113;777
112;114;994
112;115;379
112;116;833
113;114;639
113;115;911
113;116;556
113;117;455
114;115;414
114;116;100
114;117;720
114;118;279
115;116;336
115;117;821
115;118;771
115;119;859
116;117;266
116;118;106
116;119;446
116;120;461
117;118;484
117;119;638
117;120;861
117;121;856
118;119;561
118;120;627
118;121;551
118;122;893
119;120;823
119;121;844
119;122;472
119;123;661
120;121;831
120;122;395
120;123;997
120;124;950
121;122;428
121;123;117
121;124;310
121;125;231
122;123;172
122;124;316
122;125;731
122;126;447
123;124;950
123;125;175
123;126;966
123;127;306
124;125;308
124;126;896
124;127;835
124;128;729
125;126;293
125;127;903
125;128;130
125;129;507
126;127;589
126;128;283
126;129;566
126;130;720
127;128;693
127;129;485
127;130;319
127;131;423
128;129;982
128;130;534
128;131;898
128;132;272
129;130;808
129;131;346
129;132;779
129;133;914
130;131;986
130;132;362
130;133;656
130;134;361
131;132;366
131;133;110
131;134;859
131;135;409
132;133;546
132;134;318
132;135;795
132;136;957
133;134;630
133;135;361
133;136;388
133;137;838
134;135;888
134;136;673
134;137;343
134;138;787
135;136;654
135;137;235
135;138;262
135;139;458
136;137;712
136;138;737
136;139;816
136;140;627
137;138;880
137;139;137
137;140;679
137;141;652
138;139;801
138;140;222
138;141;128
138;142;775
139;140;946
139;141;473
139;142;482
139;143;679
140;141;567
140;142;256
140;143;142
140;144;228
141;142;451
141;143;312
141;144;947
141;145;614
142;143;1000
142;144;155
142;145;305
143;144;937
143;145;610
144;145;783
